num_date_time,answer
1_20240825 00,4347.803
1_20240825 01,4392.595
1_20240825 02,3913.059
1_20240825 03,3567.273
1_20240825 04,3309.9724
1_20240825 05,2946.5532
1_20240825 06,3150.7925
1_20240825 07,3735.4692
1_20240825 08,4875.9067
1_20240825 09,6522.633
1_20240825 10,6551.234
1_20240825 11,6820.4443
1_20240825 12,7115.2163
1_20240825 13,7367.1704
1_20240825 14,7525.7974
1_20240825 15,7314.9766
1_20240825 16,7171.313
1_20240825 17,7777.774
1_20240825 18,7885.057
1_20240825 19,7389.302
1_20240825 20,6033.8975
1_20240825 21,4772.8647
1_20240825 22,5417.1367
1_20240825 23,5579.3037
1_20240826 00,4837.738
1_20240826 01,4240.902
1_20240826 02,3835.0269
1_20240826 03,3430.461
1_20240826 04,3034.0034
1_20240826 05,2965.063
1_20240826 06,3006.9036
1_20240826 07,3522.3572
1_20240826 08,4592.986
1_20240826 09,5547.257
1_20240826 10,5585.5757
1_20240826 11,5311.419
1_20240826 12,5655.3213
1_20240826 13,6031.4697
1_20240826 14,5821.325
1_20240826 15,5828.8022
1_20240826 16,5680.962
1_20240826 17,6635.656
1_20240826 18,6870.9614
1_20240826 19,6124.2603
1_20240826 20,5121.0806
1_20240826 21,4324.4175
1_20240826 22,5387.5327
1_20240826 23,5734.3813
1_20240827 00,5122.8364
1_20240827 01,4852.7783
1_20240827 02,4388.043
1_20240827 03,3932.9553
1_20240827 04,3707.525
1_20240827 05,3465.6316
1_20240827 06,3417.6665
1_20240827 07,3734.0718
1_20240827 08,4280.7925
1_20240827 09,4670.69
1_20240827 10,4330.411
1_20240827 11,4335.462
1_20240827 12,4769.9844
1_20240827 13,4843.5947
1_20240827 14,5295.681
1_20240827 15,5459.1763
1_20240827 16,5312.613
1_20240827 17,5790.009
1_20240827 18,6065.407
1_20240827 19,5811.255
1_20240827 20,4965.564
1_20240827 21,3798.7422
1_20240827 22,4664.5894
1_20240827 23,5005.809
1_20240828 00,5142.7134
1_20240828 01,4835.178
1_20240828 02,4531.4463
1_20240828 03,4130.661
1_20240828 04,3761.1746
1_20240828 05,3534.7761
1_20240828 06,3885.3684
1_20240828 07,3907.5872
1_20240828 08,4366.03
