,max_bin,eta,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha
호텔,362,0.15686930122680048,4,2,0.9229695506761447,0.9575629483675895,0.0020926105213908445,3.320328903654149e-08
Commercial,278,0.1300389053072081,9,12,0.7694817515811169,0.9974061546803364,1.5088806933110786e-08,3.0454763255522435e-08
Hospital,348,0.12365133889533451,8,1,0.9555340013910384,0.9827938532319695,7.201723457865978,1.644130528251588e-06
학교,306,0.07864838544283409,3,1,0.64851341778953,0.9375911757241138,0.04305824134834424,8.320462837326139e-07
Other Buildings,333,0.1758612907481449,3,8,0.6005678378985861,0.7999991288890721,0.034876598486942134,0.31979304655317
Apartment,278,0.13542155544801093,3,7,0.8215891226056128,0.8768315179603394,4.820527823987519e-05,0.021668555228409585
Research Institute,240,0.014758646286218672,5,9,0.999346436011353,0.9688827709759421,4.1211534075857314e-06,1.1103065169129543e-07
백화점,357,0.13255600139391802,5,2,0.8255390239610068,0.9766671303943951,2.115827961235196e-07,0.00026363182618467087
IDC(전화국),227,0.14196540774537983,4,10,0.7155438932429775,0.9777580717673666,0.008163285754000004,0.03189479692041275
Public,252,0.19818407051844486,3,6,0.7135267986695042,0.8334852459274991,0.39350739844084043,5.84555641651081e-07
